Lp;Data zdarzenia;Data rejestracji;Zwierzę;Numer oborowy;Nazwa;Rodzaj zdarzenia;Opis;Wykonał;Zarejestrował;Wersja aktualna
107;2025-02-06;2025-03-05 20:52:32;PL005452069803;;MAKITA;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
108;2025-02-06;2025-03-05 20:52:33;PL005563092080;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
109;2025-02-06;2025-03-05 20:52:33;PL005563092080;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
110;2025-02-01;2025-02-05 17:32:46;PL005399718369;;MIRA;Wycielenie;"Poród samodzielny ; 1JŻ ; skierować do badania gin";;Admin Startowy admin;Tak
111;2025-02-01;2025-04-04 17:52:05;PL005563092271;;MIRANDA;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
112;2025-02-01;2025-04-04 17:52:05;PL005563092271;;MIRANDA;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
113;2025-01-27;2025-02-05 17:32:47;PL005452069797;;FAJNA;Wycielenie;"Poród samodzielny ; 1JŻ ; skierować do badania gin";;Admin Startowy admin;Tak
114;2025-01-27;2025-02-05 17:32:41;PL005491367588;;TERESKA-1;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
115;2025-01-27;2025-03-05 20:52:16;PL005563092097;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
116;2025-01-27;2025-03-05 20:52:16;PL005563092097;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
117;2025-01-26;2025-02-05 17:32:50;PL005423498915;;HANKA BIS;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
118;2025-01-25;2025-02-05 17:32:49;PL005423498977;;DGMARA;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
119;2025-01-24;2025-02-05 17:32:44;PL005452069629;;PEJKA;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
120;2025-01-21;2025-02-05 17:32:42;PL005423498922;;ZYTA-BIS;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
121;2025-01-20;2025-02-05 17:32:45;PL005380843841;;MINI;Wycielenie;"Poród łatwy ; 1JŻ ; skierować do badania gin";;Admin Startowy admin;Tak
122;2025-01-20;2025-04-04 17:52:05;PL005541628416;;MINIA;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
123;2025-01-20;2025-04-04 17:52:05;PL005541628416;;MINIA;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
124;2025-01-15;2025-02-05 17:31:52;PL005380843872;;ZOFIA;Ubycie;"Ubycie: 2025-01-15; Choroby wymienia";;Admin Startowy admin;Tak
125;2025-01-03;2025-02-05 17:32:37;PL005491367670;;DAMA-1;Wycielenie;"Poród samodzielny ; 2JŻ ; skierować do badania gin";;Admin Startowy admin;Tak
126;2025-01-03;2025-02-05 17:32:39;PL005563092103;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
127;2025-01-03;2025-02-05 17:32:39;PL005563092103;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
128;2025-01-03;2025-02-05 17:32:39;PL005563092110;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
129;2025-01-03;2025-02-05 17:32:39;PL005563092110;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
130;2024-12-31;2025-02-05 17:32:39;PL005451141272;;DONATA;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
